currency,unit,name,explanation,value,platform,geography_year,variable_class,reliability,source
USD,annual advertising revenue forecast,tiktok_us_ad_revenue_forecast_2025,Forecast United States TikTok advertising revenue for 2025. This is a forecast rather than a company-reported result.,11200000000.0,TikTok,United States / 2025 forecast,raw,exploratory,https://www.marketingdive.com/news/tiktok-us-ad-revenue-emarketer-ban/741025/
USD,per ad-reachable user-year forecast,x_global_ad_revenue_per_global_ad_reachable_user_year,Forecast global X advertising revenue divided by X global advertising reach.,3.86,X/Twitter,Global / 2025 forecast,derived,exploratory,https://www.reuters.com/technology/x-report-first-annual-ad-revenue-growth-since-musks-takeover-data-shows-2025-03-26/; https://datareportal.com/essential-x-stats
USD,per ad-reachable user-year forecast,x_us_ad_revenue_per_us_ad_reachable_user_year,Forecast United States X advertising revenue divided by X advertising reach in the United States.,12.6,X/Twitter,United States / 2025 forecast,derived,exploratory,https://www.reuters.com/technology/x-report-first-annual-ad-revenue-growth-since-musks-takeover-data-shows-2025-03-26/; https://datareportal.com/reports/digital-2025-united-states-of-america
USD,subscription price per year,x_basic_us_annual_price_2025,United States annual price for the X Basic tier on the web.,32.0,X/Twitter,United States / from February 18 2025,raw,reliable,https://help.x.com/en/premium-plus-price-update
USD,subscription price per month,x_basic_us_monthly_price_2025,United States monthly price for the X Basic tier on the web.,3.0,X/Twitter,United States / from February 18 2025,raw,reliable,https://help.x.com/en/premium-plus-price-update
USD,annual advertising revenue forecast,x_global_ad_revenue_forecast_2025,"Forecast global advertising revenue for X in 2025. X is private and does not publicly report this figure, so this should be treated as an analyst estimate rather than a company-reported result.",2260000000.0,X/Twitter,Global / 2025 forecast,raw,exploratory,https://www.reuters.com/technology/x-report-first-annual-ad-revenue-growth-since-musks-takeover-data-shows-2025-03-26/
USD,subscription price per year,x_premium_plus_us_annual_price_2025,United States annual price for the X Premium+ tier on the web.,395.0,X/Twitter,United States / from February 18 2025,raw,reliable,https://help.x.com/en/premium-plus-price-update
USD,subscription price per month,x_premium_plus_us_monthly_price_2025,United States monthly price for the X Premium+ tier on the web.,40.0,X/Twitter,United States / from February 18 2025,raw,reliable,https://help.x.com/en/premium-plus-price-update
USD,subscription price per year,x_premium_us_annual_price_2025,United States annual price for the X Premium tier on the web.,84.0,X/Twitter,United States / from February 18 2025,raw,reliable,https://help.x.com/en/premium-plus-price-update
USD,subscription price per month,x_premium_us_monthly_price_2025,United States monthly price for the X Premium tier on the web.,8.0,X/Twitter,United States / from February 18 2025,raw,reliable,https://help.x.com/en/premium-plus-price-update
USD,annual advertising revenue forecast,x_us_ad_revenue_forecast_2025,"Forecast United States advertising revenue for X in 2025. X is private and does not publicly report this figure, so this should be treated as an analyst estimate rather than a company-reported result.",1310000000.0,X/Twitter,United States / 2025 forecast,raw,exploratory,https://www.reuters.com/technology/x-report-first-annual-ad-revenue-growth-since-musks-takeover-data-shows-2025-03-26/
USD,annual advertising revenue,youtube_ad_revenue_2025_derived_from_quarters,"YouTube advertising revenue for 2025 derived by summing first-quarter, second-quarter, third-quarter, and fourth-quarter advertising revenue reported during 2025.",40413000000.0,YouTube,Global / 2025,derived,reliable,https://thedesk.net/2025/04/alphabet-youtube-q1-2025-earnings-report/; https://abc.xyz/investor/events/event-details/2025/2025-Q2-Earnings-Call/; https://abc.xyz/investor/events/event-details/2025/2025-Q3-Earnings-Call-2025-4OI4Bac_Q9/default.aspx; https://s206.q4cdn.com/479360582/files/doc_financials/2025/q4/2025q4-alphabet-earnings-release.pdf
USD,per ad-reachable user-year,youtube_ad_revenue_per_global_ad_reachable_user_year,Annual YouTube advertising revenue divided by YouTube global advertising reach.,15.97,YouTube,Global / 2025,derived,exploratory,https://thedesk.net/2025/04/alphabet-youtube-q1-2025-earnings-report/; https://abc.xyz/investor/events/event-details/2025/2025-Q2-Earnings-Call/; https://abc.xyz/investor/events/event-details/2025/2025-Q3-Earnings-Call-2025-4OI4Bac_Q9/default.aspx; https://s206.q4cdn.com/479360582/files/doc_financials/2025/q4/2025q4-alphabet-earnings-release.pdf; https://datareportal.com/essential-youtube-stats
USD,per ad-reachable user-year lower bound,youtube_total_revenue_lower_bound_per_global_ad_reachable_user_year,"Lower-bound total YouTube revenue per global ad-reachable user, using the company's statement that YouTube revenue across ads and subscriptions exceeded 60 billion United States dollars in 2025.",23.72,YouTube,Global / 2025 lower-bound,derived,exploratory,https://s206.q4cdn.com/479360582/files/doc_financials/2025/q4/2025q4-alphabet-earnings-release.pdf; https://datareportal.com/essential-youtube-stats
USD,quarterly advertising revenue,youtube_ad_revenue_q1_2025,YouTube advertising revenue in the first quarter of 2025.,8930000000.0,YouTube,Global / Q1 2025,raw,reliable,https://thedesk.net/2025/04/alphabet-youtube-q1-2025-earnings-report/
USD,quarterly advertising revenue,youtube_ad_revenue_q2_2025,YouTube advertising revenue in the second quarter of 2025.,9800000000.0,YouTube,Global / Q2 2025,raw,reliable,https://abc.xyz/investor/events/event-details/2025/2025-Q2-Earnings-Call/
USD,quarterly advertising revenue,youtube_ad_revenue_q3_2025,YouTube advertising revenue in the third quarter of 2025.,10300000000.0,YouTube,Global / Q3 2025,raw,reliable,https://abc.xyz/investor/events/event-details/2025/2025-Q3-Earnings-Call-2025-4OI4Bac_Q9/default.aspx
USD,quarterly advertising revenue,youtube_ad_revenue_q4_2025,YouTube advertising revenue in the fourth quarter of 2025.,11383000000.0,YouTube,Global / Q4 2025,raw,reliable,https://s206.q4cdn.com/479360582/files/doc_financials/2025/q4/2025q4-alphabet-earnings-release.pdf
USD,annual revenue lower bound,youtube_total_revenue_2025_lower_bound,"YouTube revenue across advertising and subscriptions exceeded this amount in 2025. Because the company reported 'exceeded', this value should be treated as a lower bound.",60000000000.0,YouTube,Global / 2025,raw,reliable,https://s206.q4cdn.com/479360582/files/doc_financials/2025/q4/2025q4-alphabet-earnings-release.pdf
